Step,Balance,Shares Held,Net Worth,Profit
231,197.63,36.0,11512.79,1512.79
232,197.63,36.0,11416.67,1416.67
233,197.63,36.0,11341.43,1341.43
234,11410.19,0,11410.19,1410.19
235,177.47,36.0,11410.19,1410.19
236,177.47,36.0,11512.79,1512.79
237,11477.15,0,11477.15,1477.15
238,190.07,36.0,11477.15,1477.15
239,190.07,36.0,11509.19,1509.19
240,11606.75,0,11606.75,1606.75
241,11606.75,0,11606.75,1606.75
242,11606.75,0,11606.75,1606.75
243,11606.75,0,11606.75,1606.75
244,101.51,36.0,11606.75,1606.75
245,101.51,36.0,11653.91,1653.91
246,11647.79,0,11647.79,1647.79
247,83.87,36.0,11647.79,1647.79
248,83.87,36.0,11648.15,1648.15
249,11709.71,0,11709.71,1709.71
250,11709.71,0,11709.71,1709.71
251,150.83,36.0,11709.71,1709.71
252,150.83,36.0,11737.79,1737.79
253,11846.15,0,11846.15,1846.15
254,11846.15,0,11846.15,1846.15
255,11846.15,0,11846.15,1846.15
256,11846.15,0,11846.15,1846.15
257,11846.15,0,11846.15,1846.15
258,11846.15,0,11846.15,1846.15
259,120.59,36.0,11846.15,1846.15
260,11926.79,0,11926.79,1926.79
261,11926.79,0,11926.79,1926.79
262,11926.79,0,11926.79,1926.79
263,13.67,36.0,11926.79,1926.79
264,13.67,36.0,11963.87,1963.87
265,11940.47,0,11940.47,1940.47
266,12.23,36.0,11940.47,1940.47
267,12.23,36.0,11954.15,1954.15
268,12.23,36.0,11847.95,1847.95
269,12.23,36.0,11658.23,1658.23
270,12.23,36.0,11780.27,1780.27
271,12.23,36.0,11770.55,1770.55
272,12.23,36.0,11808.71,1808.71
273,12.23,36.0,11594.51,1594.51
274,11680.55,0,11680.55,1680.55
275,11680.55,0,11680.55,1680.55
276,11680.55,0,11680.55,1680.55
277,11680.55,0,11680.55,1680.55
278,11680.55,0,11680.55,1680.55
279,11680.55,0,11680.55,1680.55
280,11680.55,0,11680.55,1680.55
281,11680.55,0,11680.55,1680.55
282,11680.55,0,11680.55,1680.55
283,11680.55,0,11680.55,1680.55
284,11680.55,0,11680.55,1680.55
285,11680.55,0,11680.55,1680.55
286,224.25,34.0,11680.55,1680.55
287,224.25,34.0,11562.57,1562.57
288,11186.53,0,11186.53,1186.53
289,243.78,35.0,11186.53,1186.53
290,243.78,35.0,11146.28,1146.28
291,10656.63,0,10656.63,656.63
292,287.53,35.0,10656.63,656.63
293,11105.68,0,11105.68,1105.68
294,11105.68,0,11105.68,1105.68
295,155.58,35.0,11105.68,1105.68
296,155.58,35.0,10741.68,741.68
297,10566.68,0,10566.68,566.68
298,145.94,38.0,10566.68,566.68
299,11105.9,0,11105.9,1105.9
300,11105.9,0,11105.9,1105.9
301,189.06,44.0,11105.9,1105.9
302,189.06,44.0,12039.14,2039.14
303,189.06,44.0,10742.46,742.46
304,11312.26,0,11312.26,1312.26
305,11312.26,0,11312.26,1312.26
306,11312.26,0,11312.26,1312.26
307,11312.26,0,11312.26,1312.26
308,11312.26,0,11312.26,1312.26
309,127.36,46.0,11312.26,1312.26
310,11479.7,0,11479.7,1479.7
311,11479.7,0,11479.7,1479.7
312,75.8,45.0,11479.7,1479.7
313,75.8,45.0,11850.05,1850.05
314,75.8,45.0,11674.55,1674.55
315,75.8,45.0,11152.55,1152.55
316,75.8,45.0,11408.15,1408.15
317,75.8,45.0,11244.35,1244.35
318,11994.5,0,11994.5,1994.5
319,63.65,45.0,11994.5,1994.5
320,12395.0,0,12395.0,2395.0
321,12395.0,0,12395.0,2395.0
322,265.96,44.0,12395.0,2395.0
323,12752.72,0,12752.72,2752.72
324,12752.72,0,12752.72,2752.72
325,193.22,45.0,12752.72,2752.72
326,193.22,45.0,13092.02,3092.02
327,12864.77,0,12864.77,2864.77
328,31.89,47.0,12864.77,2864.77
329,31.89,47.0,13149.59,3149.59
330,31.89,47.0,13148.65,3148.65
331,31.89,47.0,13331.48,3331.48
332,31.89,47.0,13523.24,3523.24
333,13461.2,0,13461.2,3461.2
334,13461.2,0,13461.2,3461.2
335,99.12,46.0,13461.2,3461.2
336,99.12,46.0,13107.46,3107.46
337,13143.34,0,13143.34,3143.34
338,264.79,45.0,13143.34,3143.34
339,264.79,45.0,13056.04,3056.04
340,264.79,45.0,13210.39,3210.39
341,264.79,45.0,13424.59,3424.59
342,264.79,45.0,13427.29,3427.29
343,264.79,45.0,13164.94,3164.94
344,12936.79,0,12936.79,2936.79
345,12936.79,0,12936.79,2936.79
346,54.19,45.0,12936.79,2936.79
347,54.19,45.0,13329.19,3329.19
348,13192.84,0,13192.84,3192.84
349,13192.84,0,13192.84,3192.84
350,13192.84,0,13192.84,3192.84
351,193.48,44.0,13192.84,3192.84
352,13353.0,0,13353.0,3353.0
353,13353.0,0,13353.0,3353.0
354,13353.0,0,13353.0,3353.0
355,13353.0,0,13353.0,3353.0
356,214.35,43.0,13353.0,3353.0
357,13461.79,0,13461.79,3461.79
358,13461.79,0,13461.79,3461.79
359,13461.79,0,13461.79,3461.79
360,13461.79,0,13461.79,3461.79
361,13461.79,0,13461.79,3461.79
362,13461.79,0,13461.79,3461.79
363,13461.79,0,13461.79,3461.79
364,13461.79,0,13461.79,3461.79
365,13461.79,0,13461.79,3461.79
366,258.64,43.0,13461.79,3461.79
367,258.64,43.0,13715.92,3715.92
368,258.64,43.0,13660.02,3660.02
369,13665.18,0,13665.18,3665.18
370,13665.18,0,13665.18,3665.18
